datetime,X,Y,Z,lat,lon,elevation,ascending,orbit
2022-10-10 19:52:05+00:00,2607.957300536211,-2805.831514820486,6529.221552284484,59.82471315536775,-4.379668149253373,1207.8133056872705,True,0
2022-10-10 19:52:10+00:00,2631.0295446858713,-2826.968521852916,6510.862479868821,59.55159534860726,-4.361507427303947,1207.7592876110293,True,0
2022-10-10 19:52:15+00:00,2654.0415383713444,-2848.040792182106,6492.353965816736,59.27845444611355,-4.343973527903754,1207.7050087234722,True,0
2022-10-10 19:52:20+00:00,2676.992754003135,-2869.047842590391,6473.696433423176,59.005290691169485,-4.3270497948536635,1207.6504755641731,True,0
2022-10-10 19:52:25+00:00,2699.8826653699207,-2889.9891913409197,6454.89030940642,58.73210431767502,-4.310720149670449,1207.5956947068898,True,0
2022-10-10 19:52:30+00:00,2722.7107476510932,-2910.864358188692,6435.9360238985655,58.45889555060772,-4.294969066694315,1207.5406727590214,True,0
2022-10-10 19:52:35+00:00,2745.476477429202,-2931.6728643922943,6416.834010435604,58.18566460645505,-4.279781549501621,1207.4854163609032,True,0
2022-10-10 19:52:40+00:00,2768.179332700968,-2952.4142327243103,6397.584705948589,57.91241169364153,-4.2651431085025315,1207.4299321851938,True,0
2022-10-10 19:52:45+00:00,2790.8187928905086,-2973.0879874824905,6378.1885507534425,57.63913701291674,-4.251039739648374,1207.3742269362533,True,0
2022-10-10 19:52:50+00:00,2813.394338860583,-2993.6936545014864,6358.645988541264,57.36584075773144,-4.237457904238247,1207.3183073495184,True,0
2022-10-10 19:52:55+00:00,2835.9054529246714,-3014.230761162201,6338.957466369173,57.09252311460521,-4.224384509682207,1207.2621801907842,True,0
2022-10-10 19:53:00+00:00,2858.3516188595095,-3034.6988364046356,6319.123434649363,56.81918426345114,-4.211806891235195,1207.2058522556497,True,0
2022-10-10 19:53:05+00:00,2880.73232191634,-3055.097410737789,6299.144347139877,56.545824377910385,-4.199712794615786,1207.1493303688094,True,0
2022-10-10 19:53:10+00:00,2903.0470488333367,-3075.4260162501037,6279.02066093455,56.272443625660294,-4.188090359453846,1207.092621383412,True,0
2022-10-10 19:53:15+00:00,2925.295287846705,-3095.6841866211803,6258.752836452847,55.99904216870734,-4.176928103536022,1207.0357321804197,True,0
2022-10-10 19:53:20+00:00,2947.4765287037326,-3115.871457132776,6238.341337429009,55.725620163658334,-4.166214907811893,1206.9786696679244,True,0
2022-10-10 19:53:25+00:00,2969.590262673245,-3135.9873646780734,6217.786630903168,55.4521777620059,-4.155940002079241,1206.9214407805212,True,0
2022-10-10 19:53:30+00:00,2991.635982558442,-3156.031447774224,6197.089187209603,55.178715110364294,-4.146092951371195,1206.864052478594,True,0
2022-10-10 19:53:35+00:00,3013.6131827081226,-3176.0032465721038,6176.249479967046,54.905232350722166,-4.136663642952088,1206.8065117476851,True,0
2022-10-10 19:53:40+00:00,3035.5213590287053,-3195.902302866989,6155.267986068043,54.631729620672296,-4.127642273913732,1206.7488255978112,True,0
2022-10-10 19:53:45+00:00,3057.360008995449,-3215.7281601094646,6134.145185668475,54.358207053634175,-4.119019339357411,1206.6910010628046,True,0
2022-10-10 19:53:50+00:00,3079.128631664868,-3235.4803634162595,6112.8815621763715,54.08466477905883,-4.110785621091669,1206.6330451995975,True,0
2022-10-10 19:53:55+00:00,3100.8267276852976,-3255.158459580117,6091.477602242127,53.81110292264252,-4.102932176845955,1206.5749650875903,True,0
2022-10-10 19:54:00+00:00,3122.453799309739,-3274.7619970809506,6069.9337957467,53.537521606507255,-4.095450329968093,1206.5167678279408,True,0
2022-10-10 19:54:05+00:00,3144.0093504063343,-3294.2905260962816,6048.250635791312,53.26392094939282,-4.088331659583751,1206.4584605428836,True,0
2022-10-10 19:54:10+00:00,3165.4928864704375,-3313.743598511311,6026.428618686435,52.99030106683241,-4.08156799117095,1206.4000503750492,True,0
2022-10-10 19:54:15+00:00,3186.9039146361474,-3333.120767929887,6004.468243940443,52.71666207131754,-4.075151387572203,1206.3415444867849,True,0
2022-10-10 19:54:20+00:00,3208.2419436880064,-3352.421589684883,5982.3700142483485,52.44300407245798,-4.069074140370935,1206.282950059435,True,0
2022-10-10 19:54:25+00:00,3229.5064840710447,-3371.645620847726,5960.1344354818275,52.16932717715135,-4.063328761666926,1206.2242742926696,True,0
2022-10-10 19:54:30+00:00,3250.69704790376,-3390.7924202397385,5937.762016676554,51.89563148971364,-4.057907976179553,1206.1655244037959,True,0
2022-10-10 19:54:35+00:00,3271.8131489892235,-3409.861548442506,5915.2532700209,51.621917112022004,-4.052804713694991,1206.1067076270303,True,0
2022-10-10 19:54:40+00:00,3292.854302825732,-3428.8525678068095,5892.608710845654,51.34818414366432,-4.048012101835971,1206.047831212815,True,0
2022-10-10 19:54:45+00:00,3313.8200266180456,-3447.7650424643502,5869.828857611702,51.07443268205927,-4.043523459140614,1205.9889024271333,True,0
2022-10-10 19:54:50+00:00,3334.7098392900793,-3466.598538337422,5846.9142318979275,50.80066282257485,-4.039332288400213,1205.9299285507755,True,0
2022-10-10 19:54:55+00:00,3355.5232614944366,-3485.3526231485243,5823.865358390811,50.52687465866309,-4.035432270309752,1205.8709168786472,True,0
2022-10-10 19:55:00+00:00,3376.2598156241556,-3504.0268664311916,5800.682764871964,50.253068281965895,-4.031817257359633,1205.8118747190533,True,0
2022-10-10 19:55:05+00:00,3396.9190258244466,-3522.620839539744,5777.366982206207,49.979243782423325,-4.028481267966543,1205.7528093930146,True,0
2022-10-10 19:55:10+00:00,3417.5004180027754,-3541.1341156592675,5753.918544330283,49.705401248386494,-4.025418480871093,1205.6937282335207,True,0
2022-10-10 19:55:15+00:00,3438.0035198406035,-3559.566269815998,5730.337988240301,49.43154076671161,-4.022623229731535,1205.6346385848362,True,0
